domain,category,single_i_auroc,single_p_auroc,all380_i_auroc,all380_p_auroc,all380_aupro
Agrifood,Shredded_Corn_Medium,93.33,90.22,88.06,73.20,52.57
Agrifood,Shredded_Corn_Rough,80.54,84.50,79.17,69.53,45.74
Agrifood,soybean,93.75,88.64,82.53,83.51,51.59
Agrifood,Strawberry,96.97,95.58,87.64,95.43,83.80
Agrifood,Swan_sim,63.94,98.82,50.83,90.44,73.93
Agrifood,Tea_Bag,93.45,99.33,78.75,98.55,88.97
Agrifood,Turtle_real,100.00,98.72,89.52,95.77,83.46
Agrifood,Turtle_sim,85.10,97.05,59.85,92.36,76.54
Agrifood,Unicorn_real,41.27,80.94,50.79,66.79,28.69
Agrifood,Unicorn_sim,82.84,96.09,56.38,88.00,73.58
Agrifood,walnuts,79.96,95.88,88.96,95.73,72.71
Agrifood,Whale_real,96.35,98.36,56.25,91.79,70.67
Agrifood,Whale_sim,82.20,98.02,52.42,90.32,80.54
Agrifood,wheat,96.68,93.46,83.51,87.13,57.78
Agrifood,Zalika_sim,61.43,95.78,51.25,87.22,67.66
Electronics,3_Pole_Socket_Housing,93.62,93.97,84.46,91.01,74.71
Electronics,Aluminum_Camera_Cover,95.53,93.60,83.84,87.72,68.88
Electronics,Aluminum_Ipad,95.64,96.78,92.57,92.70,68.35
Electronics,Aluminum_Middle_Frame,89.36,94.76,79.89,90.81,53.19
Electronics,Aluminum_New_Ipad,79.91,95.66,66.20,93.43,53.69
Electronics,Aluminum_New_Middle_Frame,74.24,92.06,62.49,84.59,39.36
Electronics,Aluminum_Pc,80.83,84.71,64.35,82.52,44.49
Electronics,audio_jack_socket,99.98,94.47,93.85,92.08,64.52
Electronics,audiojack,94.81,96.97,91.43,94.37,73.83
Electronics,block_inductor,94.53,97.42,88.09,95.65,76.35
Electronics,button_battery,93.65,98.59,84.39,98.33,88.90
Electronics,button_cell,100.00,99.58,100.00,99.72,98.99
Electronics,Cable_End_Sleeve,88.33,98.43,58.80,96.09,86.84
Electronics,Coaxial_T_Adapter,88.06,99.02,74.72,94.75,82.83
Electronics,common_mode_filter,99.04,89.22,98.64,79.12,43.51
Electronics,connector,100.00,99.34,98.81,98.95,96.59
Electronics,connector_housing_female,100.00,95.91,99.97,96.54,77.61
Electronics,crimp_st_cable_mount_box,100.00,95.35,99.95,89.52,46.25
Electronics,D_Sub_Connector,84.90,97.31,74.58,98.21,95.37
Electronics,ethernet_connector,95.28,94.74,99.15,97.17,88.01
Electronics,ethernet_connector_metal,87.81,96.65,64.69,94.98,85.85
Electronics,ferrite_bead,100.00,97.82,96.70,92.44,65.95
Electronics,flat_pad,100.00,99.16,92.33,99.33,98.02
Electronics,fork_crimp_terminal,99.09,97.96,96.73,98.81,90.08
Electronics,fuse_holder,100.00,99.15,95.31,98.77,95.71
Electronics,green_pcb,77.50,98.85,77.73,98.14,93.36
Electronics,headphone_jack_socket,100.00,95.20,98.70,95.23,81.39
Electronics,humidity_sensor,95.88,94.84,92.04,94.04,78.55
Electronics,Joystick,63.33,99.03,38.24,97.01,85.44
Electronics,knob_cap,100.00,98.85,99.65,97.25,88.29
Electronics,Lamp_CL,100.00,95.67,100.00,90.44,63.00
Electronics,lattice_block_plug,99.50,97.33,88.50,88.76,63.73
Electronics,led,99.70,98.18,96.58,98.36,92.60
Electronics,led_pad,98.35,97.85,97.34,97.21,89.17
Electronics,lego_pin_connector_plate,99.92,99.13,97.55,99.31,93.08
Electronics,light,100.00,99.60,91.67,99.19,97.13
Electronics,Mains_Tester,63.33,96.89,67.92,95.51,82.03
Electronics,miniature_lifting_motor,94.00,92.90,88.64,93.35,65.54
Electronics,Motor_CL,100.00,95.27,76.76,92.20,71.31
Electronics,pcb,91.96,98.93,87.48,97.82,89.06
Electronics,PCB_Group_00041,94.30,96.01,88.04,95.97,85.93
Electronics,PCB_Group_12100,96.28,94.81,92.88,94.46,82.15
Electronics,PCB_Group_12300,82.45,93.01,87.45,92.90,77.94
Electronics,PCB_Group_13000,86.36,94.43,93.14,95.51,83.83
Electronics,PCB_Group_20085,90.42,94.33,81.24,94.37,80.31
Electronics,PCB_Group_44000,99.30,96.70,100.00,96.66,86.74
Electronics,PCB_Group_50600,100.00,96.70,99.84,96.71,88.78
Electronics,PCB_Group_77000,91.09,98.09,98.82,97.94,92.45
Electronics,PCB_Group_90100,66.89,91.97,60.81,91.87,72.69
Electronics,PCB_Group_92000,100.00,98.31,100.00,97.45,90.27
Electronics,pcb1,98.80,99.70,99.12,99.52,94.96
Electronics,pcb2,98.48,98.76,98.44,98.14,89.80
Electronics,pcb3,97.05,99.00,96.09,98.59,93.78
Electronics,phone_battery,97.95,98.77,95.71,98.82,92.98
Electronics,plastic_plug,91.87,96.98,85.08,97.77,90.40
Electronics,power_inductor,95.34,95.81,86.94,93.98,72.68
Electronics,regulator,88.69,96.81,70.99,97.13,87.74
Electronics,Ring_Cable_Lug,95.68,96.42,82.20,94.79,87.81
Electronics,Rotary_Encoder,75.43,97.96,69.40,96.82,92.19
Electronics,sim_card_set,98.16,97.53,97.84,97.23,85.30
Electronics,Socket_Housing,89.19,98.56,75.97,90.41,81.98
Electronics,splicing_connectors,91.21,77.30,87.13,66.10,62.42
Electronics,switch,97.89,99.34,95.53,97.38,93.51
Electronics,telephone_spring_switch,98.96,98.27,91.68,96.25,84.43
Electronics,terminal,96.87,97.98,91.73,96.36,84.75
Electronics,terminalblock,99.20,99.71,97.69,99.65,98.10
Electronics,thin_resistor,97.78,96.14,94.17,96.09,85.54
Electronics,transistor,100.00,94.45,98.30,88.91,72.83
Electronics,transistor1,97.27,98.96,94.97,98.94,95.66
Electronics,type_c,98.30,97.06,96.29,96.22,79.82
Electronics,u_block,97.91,99.03,87.94,98.59,91.58
Electronics,usb,95.84,99.25,89.57,98.38,91.95
Electronics,usb_adaptor,97.32,97.20,90.94,96.63,81.49
Electronics,USB_CL,74.41,99.05,80.27,97.88,92.92
Electronics,Vibration_Sensor,95.83,98.28,67.92,95.21,84.51
Electronics,wafer_resistor,96.62,98.25,95.82,97.96,91.63
Electronics,wire_cap,96.10,97.72,87.91,96.25,82.30
Industry,AI,100.00,94.83,99.84,92.25,75.41
Industry,Aluminium_Plate,100.00,97.42,99.53,97.41,90.83
Industry,Amphora_IL,90.73,98.18,91.83,97.83,84.99
Industry,Axletree_CL,90.56,98.69,88.61,98.19,88.51
Industry,Bearing_IL,100.00,99.61,91.83,98.57,95.61
Industry,black_toothbrush,99.17,98.66,94.58,99.36,97.96
Industry,blackhead_toothbrush,91.68,95.43,87.93,96.97,89.14
Industry,Blotchy_099,100.00,99.57,100.00,99.16,97.31
Industry,blue_white_capsule,98.25,84.96,95.01,87.53,72.33
Industry,Bone_Pliers,95.63,98.68,85.56,99.67,97.31
Industry,Box_CL,99.26,98.48,91.68,98.65,89.19
Industry,bracket_black,82.71,95.96,77.13,96.38,89.40
Industry,bracket_brown,92.46,98.38,87.25,98.13,93.92
Industry,bracket_white,98.78,99.16,73.33,95.92,78.64
Industry,button,94.12,98.62,91.80,98.55,86.66
Industry,Can_CL,100.00,99.10,96.93,98.74,85.35
Industry,candle,96.04,99.02,94.61,98.92,89.03
Industry,carpet,100.00,99.27,100.00,99.09,95.52
Industry,Chain_CL,100.00,98.26,87.68,98.59,94.03
Industry,copper_standoff,98.58,98.04,93.78,96.74,82.56
Industry,Copper_Stator,80.63,94.77,70.60,92.05,70.68
Industry,cotton,100.00,99.60,100.00,95.80,86.13
Industry,cube,100.00,99.23,99.49,98.31,81.04
Industry,Cube_CL,100.00,99.89,99.96,99.64,98.81
Industry,Cup_CL,100.00,99.53,95.82,99.42,97.53
Industry,Cylinder_Screw,98.12,99.50,95.75,99.14,97.30
Industry,Damper_Large,97.60,98.19,100.00,98.41,88.30
Industry,Damper_Small,95.00,99.53,90.86,99.57,97.48
Industry,dark_zipper,100.00,97.04,100.00,98.62,95.52
Industry,darkgray_leather,100.00,94.91,100.00,91.07,73.02
Industry,darkgray_Steel,100.00,87.69,100.00,86.13,61.61
Industry,darkgray_tile,100.00,94.35,100.00,89.86,66.47
Industry,dowel,96.02,99.43,93.52,99.60,97.90
Industry,Drill,78.59,98.63,66.86,99.01,93.66
Industry,end_cap,89.00,98.25,84.02,97.38,90.14
Industry,engine_wiring,82.38,96.01,82.70,90.18,77.81
Industry,eraser,95.84,98.96,89.87,98.50,90.86
Industry,fabric,74.71,87.94,75.47,84.69,43.04
Industry,Fibrous_183,100.00,99.56,99.94,99.43,97.44
Industry,Filter_IL,99.76,99.93,99.06,99.82,99.37
Industry,fire_hood,86.41,98.18,77.46,97.43,82.95
Industry,flat_nut,95.75,98.58,94.74,97.83,88.05
Industry,foam,84.27,95.10,79.78,95.07,84.45
Industry,gear,97.07,98.25,96.25,95.54,87.65
Industry,Gear_CL,100.00,96.98,97.95,94.64,83.59
Industry,grey_cloth,99.95,98.49,99.95,97.83,84.44
Industry,grid,100.00,99.17,100.00,99.10,96.46
Industry,grid_cloth,99.15,99.15,97.55,98.80,92.52
Industry,Hose_Screw_Fitting,96.55,99.43,85.78,98.49,94.25
Industry,Iron_Stator,72.86,91.02,61.27,84.61,46.51
Industry,Joint_CL,85.69,98.29,52.55,94.90,83.08
Industry,Keyring_CL,100.00,98.75,96.79,98.65,90.59
Industry,leather,100.00,99.08,100.00,98.87,96.01
Industry,lego_propeller,100.00,77.19,100.00,85.76,53.93
Industry,Lighter_CL,100.00,99.62,100.00,98.72,96.79
Industry,long_button,96.36,95.67,85.70,90.78,68.24
Industry,Marbled_078,100.00,99.54,99.06,98.87,94.82
Industry,Matted_069,99.68,99.64,98.92,98.95,83.98
Industry,Mesh_114,98.85,99.39,98.78,99.35,97.62
Industry,metal_nut,100.00,97.55,99.74,93.39,91.56
Industry,metal_plate,100.00,98.76,99.73,97.98,94.07
Industry,metal_screw,100.00,98.65,100.00,98.94,97.24
Industry,Metal_Surface_Defect_1,97.09,97.63,94.95,95.26,82.56
Industry,Metal_Surface_Defect_2,95.37,98.38,93.27,97.52,82.72
Industry,mounts,97.44,97.80,89.73,98.38,88.58
Industry,MT,99.41,82.67,99.12,75.03,64.43
Industry,Neon_Ring_Pattern,99.24,97.61,99.34,97.84,78.93
Industry,nut,100.00,99.27,98.14,99.32,97.57
Industry,nut_cap,86.24,97.78,78.52,96.64,76.44
Industry,Oval_Ring_Pattern,99.87,99.59,100.00,99.52,97.80
Industry,Pan_Screw,88.11,99.34,68.37,99.21,96.62
Industry,Paperclip,100.00,97.58,98.72,98.14,94.00
Industry,PaperCup_CL,99.02,99.21,90.61,98.97,97.40
Industry,Parts_CL,88.95,98.61,70.97,97.09,89.93
Industry,Perforated_037,100.00,99.47,100.00,99.47,98.49
Industry,Picker_CL,99.87,97.63,71.48,97.68,87.01
Industry,piggy,100.00,99.01,100.00,97.47,90.22
